striker,team,type,note
A Badoni,Lucknow Super Giants,Batter,
A Manohar,Gujarat Titans,Allrounder,
A Nortje,Delhi Capitals,Bowler,OS
A Tomar,Kolkata Knight Riders,Batter,
AD Russell,Kolkata Knight Riders,Allrounder,OS
AJ Finch,Kolkata Knight Riders,Batter,OS
AK Markram,Sunrisers Hyderabad,Batter,OS
AM Rahane,Kolkata Knight Riders,Batter,
AR Patel,Delhi Capitals,Allrounder,
AS Joseph,Gujarat Titans,Bowler,OS
AS Roy,Kolkata Knight Riders,Allrounder,
AT Rayudu,Chennai Super Kings,Batter,
Abdul Samad,Sunrisers Hyderabad,Batter,
Abhishek Sharma,Sunrisers Hyderabad,Allrounder,
Akash Deep,Royal Challengers Bangalore,Allrounder,
Aman Hakim Khan,Kolkata Knight Riders,Bowler,
Anmolpreet Singh,Mumbai Indians,Batter,
Anuj Rawat,Royal Challengers Bangalore,WK Batter,
Arshdeep Singh,Punjab Kings,Bowler,
Avesh Khan,Lucknow Super Giants,Bowler,
B Indrajith,Kolkata Knight Riders,Batter,
B Kumar,Sunrisers Hyderabad,Bowler,
B Sai Sudharsan,Gujarat Titans,Batter,
CJ Jordan,Chennai Super Kings,Bowler,OS
CV Varun,Kolkata Knight Riders,Bowler,
D Brevis,Mumbai Indians,Allrounder,OS
D Padikkal,Rajasthan Royals,Batter,
D Pretorius,Chennai Super Kings,Allrounder,OS
DA Miller,Gujarat Titans,Batter,OS
DA Warner,Delhi Capitals,Batter,OS
DJ Bravo,Chennai Super Kings,Allrounder,OS
DJ Hooda,Lucknow Super Giants,Allrounder,
DJ Mitchell,Rajasthan Royals,Allrounder,OS
DJ Willey,Royal Challengers Bangalore,Allrounder,OS
DP Conway,Chennai Super Kings,WK Batter,OS
DR Sams,Mumbai Indians,Allrounder,OS
E Lewis,Lucknow Super Giants,Batter,OS
F du Plessis,Royal Challengers Bangalore,Batter,C OS
FA Allen,Mumbai Indians,Allrounder,OS
Fazalhaq Farooqi,Sunrisers Hyderabad,Bowler,OS
GJ Maxwell,Royal Challengers Bangalore,Allrounder,OS
HE van der Dussen,Rajasthan Royals,Batter,OS
HH Pandya,Gujarat Titans,Allrounder,C
HR Shokeen,Mumbai Indians,Bowler,
HV Patel,Royal Challengers Bangalore,Bowler,
Harpreet Brar,Punjab Kings,Bowler,
Harshit Rana,Kolkata Knight Riders,Bowler,
Ishan Kishan,Mumbai Indians,WK Batter,
J Suchith,Sunrisers Hyderabad,Bowler,
JC Buttler,Rajasthan Royals,WK Batter,OS
JD Unadkat,Mumbai Indians,Bowler,
JDS Neesham,Rajasthan Royals,Allrounder,OS
JJ Bumrah,Mumbai Indians,Bowler,
JM Bairstow,Punjab Kings,WK Batter,OS
JM Sharma,Punjab Kings,WK Batter,
JO Holder,Lucknow Super Giants,Allrounder,OS
JR Hazlewood,Royal Challengers Bangalore,Bowler,OS
K Gowtham,Lucknow Super Giants,Allrounder,
K Kartikeya,Mumbai Indians,Bowler,
K Rabada,Punjab Kings,Bowler,OS
KA Pollard,Mumbai Indians,Allrounder,OS
KD Karthik,Royal Challengers Bangalore,WK Batter,
KH Pandya,Lucknow Super Giants,Allrounder,
KK Ahmed,Delhi Capitals,Bowler,
KK Nair,Rajasthan Royals,Batter,
KL Rahul,Lucknow Super Giants,Batter,C
KR Sen,Rajasthan Royals,Bowler,
KS Bharat,Delhi Capitals,WK Batter,
KS Sharma,Lucknow Super Giants,Allrounder,
KS Williamson,Sunrisers Hyderabad,Batter,C OS
Kartik Tyagi,Sunrisers Hyderabad,Bowler,
Kuldeep Yadav,Delhi Capitals,Bowler,
LH Ferguson,Gujarat Titans,Bowler,OS
LS Livingstone,Punjab Kings,Allrounder,OS
Lalit Yadav,Delhi Capitals,Allrounder,
M Ashwin,Mumbai Indians,Bowler,
M Jansen,Sunrisers Hyderabad,Allrounder,OS
M Prasidh Krishna,Rajasthan Royals,Bowler,
M Shahrukh Khan,Punjab Kings,Batter,
M Theekshana,Chennai Super Kings,Bowler,OS
M Vohra,Lucknow Super Giants,Batter,
MA Agarwal,Punjab Kings,Batter,C
MJ Santner,Chennai Super Kings,Allrounder,OS
MK Lomror,Royal Challengers Bangalore,Allrounder,
MK Pandey,Lucknow Super Giants,Batter,
MM Ali,Chennai Super Kings,Allrounder,OS
MP Stoinis,Lucknow Super Giants,Allrounder,OS
MR Marsh,Delhi Capitals,Allrounder,OS
MS Dhoni,Chennai Super Kings,WK Batter,C
MS Wade,Gujarat Titans,WK Batter,OS
Mandeep Singh,Delhi Capitals,Allrounder,
Mohammed Siraj,Royal Challengers Bangalore,Bowler,
Mohsin Khan (2),Lucknow Super Giants,Bowler,
Mukesh Choudhary,Chennai Super Kings,Bowler,
Mustafizur Rahman,Delhi Capitals,Bowler,OS
N Jagadeesan,Chennai Super Kings,Batter,
N Pooran,Sunrisers Hyderabad,WK Batter,OS
N Rana,Kolkata Knight Riders,Batter,
NA Saini,Rajasthan Royals,Bowler,
NM Coulter-Nile,Rajasthan Royals,Allrounder,OS
NT Ellis,Punjab Kings,Bowler,OS
OC McCoy,Rajasthan Royals,Bowler,OS
OF Smith,Punjab Kings,Allrounder,OS
P Simran Singh,Punjab Kings,WK Batter,
PBB Rajapaksa,Punjab Kings,Batter,OS
PJ Cummins,Kolkata Knight Riders,Bowler,OS
PJ Sangwan,Gujarat Titans,Bowler,
PK Garg,Sunrisers Hyderabad,Batter,
PN Mankad,Punjab Kings,Allrounder,
PP Shaw,Delhi Capitals,Batter,
PVD Chameera,Lucknow Super Giants,Bowler,OS
PWH de Silva,Royal Challengers Bangalore,Allrounder,OS
Q de Kock,Lucknow Super Giants,WK Batter,OS
R Ashwin,Rajasthan Royals,Allrounder,
R Dhawan,Punjab Kings,Allrounder,
R Parag,Rajasthan Royals,Batter,
R Powell,Delhi Capitals,Batter,OS
R Sanjay Yadav,Mumbai Indians,Allrounder,
R Shepherd,Sunrisers Hyderabad,Allrounder,OS
R Tewatia,Gujarat Titans,Allrounder,
RA Bawa,Punjab Kings,Allrounder,
RA Jadeja,Chennai Super Kings,Allrounder,
